Text (Marathi),Category
ग्राहकांना गुणवत्ता आणि सेवा देणे महत्त्वाचे आहे,Service
शेअर बाजारात गुंतवणूक करताना धोका असतो,Finance
मुलांना चांगले शिक्षण देणे आवश्यक आहे,Education
खेळामुळे शरीर आणि मन तंदुरुस्त राहते,Sports
सरकारने नवे धोरण जाहीर केले,Politics
आरोग्यासाठी दररोज व्यायाम करणे आवश्यक आहे,Health
नवीन तंत्रज्ञानामुळे शिक्षण अधिक सुलभ झाले आहे,Technology
पर्यावरण रक्षण ही आपल्या सर्वांची जबाबदारी आहे,Environment
आजच्या हवामानाचा अंदाज पावसाचा आहे,Weather
नवीन चित्रपटाने बॉक्स ऑफिसवर चांगली कमाई केली,Entertainment
रेल्वे सेवेत काही विलंब असल्याचे सांगण्यात आले आहे,Transport
महिलांच्या सुरक्षेसाठी नवीन योजना राबवण्यात येणार,Social Welfare
इंटरनेटचा वाढता वापर लहान मुलांवर परिणाम करत आहे,Parenting
नवनिर्मित औषधांवर संशोधन सुरू आहे,Research
जलसंधारणासाठी ग्रामीण भागात मोहीम राबवली जात आहे,Agriculture
सणांच्या काळात बाजारपेठेत चांगली उलाढाल झाली,Market
विद्यार्थ्यांना ऑनलाईन अभ्यासक्रमांचा लाभ मिळत आहे,E-Learning
या वर्षी पावसाचे प्रमाण सरासरीपेक्षा कमी आहे,Climate
पुस्तक प्रदर्शनात विविध लेखकांची पुस्तके उपलब्ध होती,Literature
डिजिटल पेमेंटमध्ये भारताची प्रगती झपाट्याने होत आहे,Economy